f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold
0.9612352878091164,0.9253731067052805,0.9999999677419366,310.0,1929.0,25.0,0.0,0.9936028659160696,0.00010008820636784323
0.9494589959667135,0.9037900611139924,0.9999999677419366,310.0,1921.0,33.0,0.0,0.9915557830092119,6.836739901450741e-08
0.9494589959667135,0.9037900611139924,0.9999999677419366,310.0,1921.0,33.0,0.0,0.9915557830092119,6.836739901450741e-08
0.9494589959667135,0.9037900611139924,0.9999999677419366,310.0,1921.0,33.0,0.0,0.9915557830092119,6.836739901450741e-08
0.9494589959667135,0.9037900611139924,0.9999999677419366,310.0,1921.0,33.0,0.0,0.9915557830092119,6.836739901450741e-08
0.9351382809334883,0.8781869439607098,0.9999999677419366,310.0,1911.0,43.0,0.0,0.9889969293756397,0.003095839510462892
0.9494589959667135,0.9037900611139924,0.9999999677419366,310.0,1921.0,33.0,0.0,0.9915557830092119,6.836739901450741e-08
0.9351382809334883,0.8781869439607098,0.9999999677419366,310.0,1911.0,43.0,0.0,0.9889969293756397,6.836739901450741e-08
0.9494589959667135,0.9037900611139924,0.9999999677419366,310.0,1921.0,33.0,0.0,0.9915557830092119,6.836739901450741e-08
0.9494589959667135,0.9037900611139924,0.9999999677419366,310.0,1921.0,33.0,0.0,0.9915557830092119,6.836739901450741e-08
0.9494589959667135,0.9037900611139924,0.9999999677419366,310.0,1921.0,33.0,0.0,0.9915557830092119,6.836739901450741e-08
0.9239890401186057,0.8587257379854367,0.9999999677419366,310.0,1903.0,51.0,0.0,0.9869498464687819,0.002615214100687421
0.9480072169645709,0.9011627645010825,0.9999999677419366,310.0,1920.0,34.0,0.0,0.9912998976458546,0.0004978232210332898
0.9494589959667135,0.9037900611139924,0.9999999677419366,310.0,1921.0,33.0,0.0,0.9915557830092119,6.836739901450741e-08
0.9494589959667135,0.9037900611139924,0.9999999677419366,310.0,1921.0,33.0,0.0,0.9915557830092119,6.836739901450741e-08
0.9494589959667135,0.9037900611139924,0.9999999677419366,310.0,1921.0,33.0,0.0,0.9915557830092119,6.836739901450741e-08
0.9494589959667135,0.9037900611139924,0.9999999677419366,310.0,1921.0,33.0,0.0,0.9915557830092119,6.836739901450741e-08
0.9494589959667135,0.9037900611139924,0.9999999677419366,310.0,1921.0,33.0,0.0,0.9915557830092119,6.836739901450741e-08
0.9494589959667135,0.9037900611139924,0.9999999677419366,310.0,1921.0,33.0,0.0,0.9915557830092119,6.836739901450741e-08
0.0,0.0,0.0,0.0,1954.0,0.0,310.0,0.5,3.898154355668131e+28
0.0,0.0,0.0,0.0,1954.0,0.0,310.0,0.5,1.8017739473467997e+29
0.9494589959667135,0.9037900611139924,0.9999999677419366,310.0,1921.0,33.0,0.0,0.9915557830092119,6.836739901450741e-08
0.9494589959667135,0.9037900611139924,0.9999999677419366,310.0,1921.0,33.0,0.0,0.9915557830092119,6.836739901450741e-08
0.9494589959667135,0.9037900611139924,0.9999999677419366,310.0,1921.0,33.0,0.0,0.9915557830092119,6.836739901450741e-08
0.9494589959667135,0.9037900611139924,0.9999999677419366,310.0,1921.0,33.0,0.0,0.9915557830092119,6.836739901450741e-08
0.9494589959667135,0.9037900611139924,0.9999999677419366,310.0,1921.0,33.0,0.0,0.9915557830092119,6.836739901450741e-08
0.9494589959667135,0.9037900611139924,0.9999999677419366,310.0,1921.0,33.0,0.0,0.9915557830092119,6.836739901450741e-08
0.9212431463035899,0.8539944668321084,0.9999999677419366,310.0,1901.0,53.0,0.0,0.9864380757420675,0.0019024268195253452
0.9494589959667135,0.9037900611139924,0.9999999677419366,310.0,1921.0,33.0,0.0,0.9915557830092119,6.836739901450741e-08
0.0,0.0,0.0,0.0,1954.0,0.0,310.0,0.5,7.967603294119867e+45
0.9494589959667135,0.9037900611139924,0.9999999677419366,310.0,1921.0,33.0,0.0,0.9915557830092119,6.836739901450741e-08
0.9494589959667135,0.9037900611139924,0.9999999677419366,310.0,1921.0,33.0,0.0,0.9915557830092119,6.836739901450741e-08
0.9494589959667135,0.9037900611139924,0.9999999677419366,310.0,1921.0,33.0,0.0,0.9915557830092119,6.836739901450741e-08
0.6623887181609508,0.49520765982096393,0.9999999677419366,310.0,1638.0,316.0,0.0,0.9191402251791198,6.836739901450741e-08
0.9494589959667135,0.9037900611139924,0.9999999677419366,310.0,1921.0,33.0,0.0,0.9915557830092119,6.836739901450741e-08
0.0,0.0,0.0,0.0,1954.0,0.0,310.0,0.5,2.423256749637168e+37
0.9494589959667135,0.9037900611139924,0.9999999677419366,310.0,1921.0,33.0,0.0,0.9915557830092119,6.836739901450741e-08
0.9494589959667135,0.9037900611139924,0.9999999677419366,310.0,1921.0,33.0,0.0,0.9915557830092119,6.836739901450741e-08
0.9494589959667135,0.9037900611139924,0.9999999677419366,310.0,1921.0,33.0,0.0,0.9915557830092119,6.836739901450741e-08
0.0,0.0,0.0,0.0,1910.0,44.0,310.0,0.4887410440122825,1.677431161632376e-05
0.9494589959667135,0.9037900611139924,0.9999999677419366,310.0,1921.0,33.0,0.0,0.9915557830092119,6.836739901450741e-08
0.0,0.0,0.0,0.0,1954.0,0.0,310.0,0.5,1.3842034191435791e+56
0.9494589959667135,0.9037900611139924,0.9999999677419366,310.0,1921.0,33.0,0.0,0.9915557830092119,6.836739901450741e-08
0.750464148238628,0.8968609463291055,0.6451612695109269,200.0,1931.0,23.0,110.0,0.8166952818040744,0.00032746054864981667
0.9494589959667135,0.9037900611139924,0.9999999677419366,310.0,1921.0,33.0,0.0,0.9915557830092119,6.836739901450741e-08
